	FDR	FC	NF1300	NF1347	NF1311	NF1341	WD1297	WD1349	WD1306	WD1340
GLIPR2	0.0853983156750325	-1.84872295853163	8092.67010866009	5643.58974885886	6498.26406129426	9162.42944372737	4578.52717438965	4589.81146349613	2832.09480156621	3926.55088146466
TLL2	0.0859351407709759	4.04509955473874	23.3367609669788	76.4714058110957	8.1724485140244	14.3741727832566	93.8449022963878	88.9067595834603	97.3913022812923	75.1904934179023
SEPT3	0.0859769100080611	6.3294648449929	2.59297344077542	33.369340717569	17.5123896729094	8.29279199034034	225.227765511331	82.7326790568311	42.0553350760126	61.4151358451568
BHMT2	0.0860962314176755	-2.36773573033687	3251.58869473238	3158.96425459653	9516.23254825898	4070.6551616584	2220.25998256513	508.744235394244	4073.83390565269	2594.93298276592
MYO19	0.0860962314176755	1.71238999551999	1933.06170009808	2771.0456687548	2128.33909158092	1644.18422528481	3720.67436163326	4550.29734812571	3361.10664804869	2833.13187412798
NIPSNAP3B	0.0860962314176755	-3.22798695204408	3602.93659595745	4104.42890826099	1158.15270370174	1441.28724792115	818.106736489687	361.80111886047	604.268761881654	1190.42048357809
TP73	0.0861814748984781	2.87635202483752	33.7086547300805	73.6906274179649	35.0247793458189	59.1552495310944	161.192420414972	139.53421990182	132.806321292671	122.830271690314
CLEC4F	0.0869216779475768	3.45183054679342	24.6332476873665	104.279189742403	172.788911439373	56.3909855343143	132.486920889018	565.545776239233	178.181814401001	247.956436309418
GPRIN3	0.0869216779475768	3.23238207148669	72.6032563417119	104.279189742403	114.414279196342	70.2123055182149	195.418208311302	1060.70703447489	219.130430132908	160.138531783166
HRH1	0.0869216779475768	-2.47732495322788	2635.75750254822	1188.7827630634	1267.89701231864	1214.06474738583	653.602143052489	1247.1642663791	367.430822243057	449.995014043019
ZNF257	0.0871786658570575	2.82835699902768	40.1910883320191	87.5945193836187	36.1922719906795	48.098193543974	66.2434604445091	254.372117697122	101.818179657715	221.553667628323
TSPAN11	0.0877833887259708	-2.65849286266684	350.051414504682	592.305797736851	646.790925252788	412.428188319593	200.938496681677	100.020104531393	302.134380940827	174.487862588109
STEAP1	0.0886850202712307	-1.75429021252163	1863.05141719714	709.098490248342	4438.80703576011	3784.27741159197	1199.00663404561	445.768614022627	2423.71536359125	1814.32938697702
SEL1L3	0.0886850202712307	2.48247251773023	985.329907494661	1091.45551930382	1339.11406365514	1207.43051379355	2051.33915843163	7933.6934767185	1847.11458531224	2367.06560958343
FCGR3B	0.0891511629669885	-15.5556227651915	16410.9289066677	412.945591379917	5969.3898931724	4537.81577711424	210.875015748354	104.959368952696	43.1620544201182	4012.64686629431
SLC25A16	0.0891617011082491	-2.17977187153608	1699.69409042829	1465.47021317991	5802.43844495732	1191.95063541158	703.284738385871	569.250224555211	1653.43870009376	1181.23691186292
CDCA2	0.0895401465997118	5.24199233165733	12.9648672038771	148.771644032495	44.3647205047039	15.4798783819686	145.73561297792	154.35201316573	159.367585551206	265.749606507548
XCL1	0.0902082673895559	2.92645959663818	36.3016281708559	43.1020650935267	16.3448970280488	33.1711679613614	68.4515757926593	127.186058848561	94.0711442489755	80.9302257398796
TNFRSF19	0.0903274282204429	3.21178501317684	366.905741869723	880.116361425883	470.499535878833	152.587372622262	1635.1094153053	995.261780892625	1020.39523526536	1519.30714562738
ANTXR2	0.0904524829017676	-2.50797521473204	22767.6032967286	31274.024198345	10913.7212441572	11936.0919380965	6363.78843336917	5514.68872638519	7483.63620484203	8793.84389050139
TSPAN5	0.0905530784391745	2.49032314136464	160.764353328076	475.513105225358	206.646198140331	248.78375971021	386.420185926303	1455.84818817916	873.201562499313	304.205813064796
CDC25A	0.0905539311575624	3.78751198940285	111.497857953343	114.011914118361	66.5470807570558	22.6669647735969	382.003955230002	145.708300428449	252.332010456076	295.59621458183
CELSR3	0.0906368292696034	2.35517647811203	145.206512683424	262.783558150856	155.276521766464	186.31139338298	342.257878963296	826.091974462985	392.885367157486	306.501705993586
BRI3	0.0911690706891929	-1.7357201217613	9680.86634113504	7869.60285256003	9162.48227686622	12859.3561130211	4964.94736031595	4963.96074340986	6016.12635455801	6670.71690460199
EMILIN2	0.0911759057659255	-1.82144492795743	7415.90404061771	10936.8014201833	6558.97367882701	8320.9874831075	3646.70249747022	4545.35808370441	3628.93272932224	6699.41556621187
KLHL21	0.0915543274382479	-2.00358335787739	14970.5321603169	5515.67394277485	11653.9115809988	8832.92917531118	4564.17442462667	2633.86275266001	5621.02754871232	7844.49216444635
METTL7B	0.0915543274382479	2.52808156589116	75.1962297824873	134.867752066841	101.571860102875	70.7651583175709	228.539938533556	337.104796753954	181.501972433317	212.944069145357
CD302	0.0915543274382479	-2.09670471761128	12822.2536646345	13076.6103936974	9044.56551973528	7138.98819808433	3227.16058132166	5340.57965553424	5675.25679657348	5674.29937350674
SGCB	0.0920026742862064	-1.82133556227831	6221.83977114063	4863.58140958569	8201.63583014591	7049.42604458865	4426.16721536728	1781.83963998518	4553.04338165041	4404.67058388536
FGF2	0.0920026742862064	-2.70834652453804	11926.3813408466	8353.45829296478	6834.50194301412	4432.77374523659	1312.72457447535	3048.76096404949	4601.73903279106	2752.2016483881
STMN1	0.0921237980008196	1.82726973830308	2832.82348404715	3453.7267642684	3902.92791176908	3952.3446625962	7166.4383624218	4637.96929160384	8393.35950569683	6034.18059009471
SLC31A2	0.0924549711661984	-2.75725625295509	488.775493586167	358.720412713867	837.092226365071	308.491862040661	87.2205562519369	123.481610532584	299.920942252616	239.92081105865
ADH1A	0.0930907397225409	-5.86100532769179	381.167095793987	449.095710490616	252.178411289896	237.72670372309	61.8272297482084	6.17408052662918	102.92489900182	101.593262098998
GPR146	0.0932098633983775	-2.35038552026981	737.700943900608	1001.08022152707	1132.46786551481	1338.45662724093	663.538662119166	267.955094855707	374.071138307691	561.919794321576
